Source: USDA National Nutrient Database for Standard Reference 28 Software v.2.3.7.5
Basic Report
Report Run at: February 22, 2016 17:57 EST
"Nutrient data for: 11080, Beets, raw"
Nutrient,Unit,1.875Value per 187.5 g,"1 cup = 136.0g","1 beet (2"" dia) = 82.0g",
Proximates
"Water",g,164.21,119.11,71.82
"Energy",kcal,81,58,35
"Protein",g,3.02,2.19,1.32
"Total lipid (fat)",g,0.32,0.23,0.14
"Carbohydrate, by difference",g,17.92,13.00,7.84
"Fiber, total dietary",g,5.2,3.8,2.3
"Sugars, total",g,12.67,9.19,5.54
Minerals
"Calcium, Ca",mg,30,22,13
"Iron, Fe",mg,1.50,1.09,0.66
"Magnesium, Mg",mg,43,31,19
"Phosphorus, P",mg,75,54,33
"Potassium, K",mg,609,442,266
"Sodium, Na",mg,146,106,64
"Zinc, Zn",mg,0.66,0.48,0.29
Vitamins
"Vitamin C, total ascorbic acid",mg,9.2,6.7,4.0
"Thiamin",mg,0.058,0.042,0.025
"Riboflavin",mg,0.075,0.054,0.033
"Niacin",mg,0.626,0.454,0.274
"Vitamin B-6",mg,0.126,0.091,0.055
"Folate, DFE",µg,204,148,89
"Vitamin B-12",µg,0.00,0.00,0.00
"Vitamin A, RAE",µg,4,3,2
"Vitamin A, IU",IU,62,45,27
"Vitamin E (alpha-tocopherol)",mg,0.08,0.05,0.03
"Vitamin D (D2 + D3)",µg,0.0,0.0,0.0
"Vitamin D",IU,0,0,0
"Vitamin K (phylloquinone)",µg,0.4,0.3,0.2
Lipids
"Fatty acids, total saturated",g,0.051,0.037,0.022
"Fatty acids, total monounsaturated",g,0.060,0.044,0.026
"Fatty acids, total polyunsaturated",g,0.112,0.082,0.049
"Fatty acids, total trans",g,0.000,0.000,0.000
"Cholesterol",mg,0,0,0
Amino Acids
Other
"Caffeine",mg,0,0,0
