Source: USDA National Nutrient Database for Standard Reference 28 Software v.2.3.7.5
Basic Report
Report Run at: February 22, 2016 18:24 EST
"Nutrient data for: 11957, Fennel, bulb, raw"
Nutrient,Unit,2.5Value per 250 g,"1 cup, sliced = 87.0g","1 bulb = 234.0g",
Proximates
"Water",g,225.52,78.48,211.09
"Energy",kcal,78,27,73
"Protein",g,3.10,1.08,2.90
"Total lipid (fat)",g,0.50,0.17,0.47
"Carbohydrate, by difference",g,18.25,6.35,17.08
"Fiber, total dietary",g,7.8,2.7,7.3
"Sugars, total",g,9.83,3.42,9.20
Minerals
"Calcium, Ca",mg,122,43,115
"Iron, Fe",mg,1.82,0.64,1.71
"Magnesium, Mg",mg,42,15,40
"Phosphorus, P",mg,125,44,117
"Potassium, K",mg,1035,360,969
"Sodium, Na",mg,130,45,122
"Zinc, Zn",mg,0.50,0.17,0.47
Vitamins
"Vitamin C, total ascorbic acid",mg,30.0,10.4,28.1
"Thiamin",mg,0.025,0.009,0.023
"Riboflavin",mg,0.080,0.028,0.075
"Niacin",mg,1.600,0.557,1.498
"Vitamin B-6",mg,0.118,0.041,0.110
"Folate, DFE",µg,68,23,63
"Vitamin B-12",µg,0.00,0.00,0.00
"Vitamin A, RAE",µg,120,42,112
"Vitamin A, IU",IU,2408,838,2253
"Vitamin E (alpha-tocopherol)",mg,1.45,0.50,1.36
"Vitamin D (D2 + D3)",µg,0.0,0.0,0.0
"Vitamin D",IU,0,0,0
"Vitamin K (phylloquinone)",µg,157.0,54.6,147.0
Lipids
"Fatty acids, total saturated",g,0.225,0.078,0.211
"Fatty acids, total monounsaturated",g,0.170,0.059,0.159
"Fatty acids, total polyunsaturated",g,0.423,0.147,0.395
"Fatty acids, total trans",g,0.000,0.000,0.000
"Cholesterol",mg,0,0,0
Amino Acids
Other
"Caffeine",mg,0,0,0
