Source: USDA National Nutrient Database for Standard Reference 28 Software v.2.3.7.5
Basic Report
Report Run at: February 22, 2016 17:57 EST
"Nutrient data for: 11080, Beets, raw"
Nutrient,Unit,.625Value per 62.5 g,"1 cup = 136.0g","1 beet (2"" dia) = 82.0g",
Proximates
"Water",g,54.74,119.11,71.82
"Energy",kcal,27,58,35
"Protein",g,1.01,2.19,1.32
"Total lipid (fat)",g,0.11,0.23,0.14
"Carbohydrate, by difference",g,5.98,13.00,7.84
"Fiber, total dietary",g,1.8,3.8,2.3
"Sugars, total",g,4.22,9.19,5.54
Minerals
"Calcium, Ca",mg,10,22,13
"Iron, Fe",mg,0.50,1.09,0.66
"Magnesium, Mg",mg,14,31,19
"Phosphorus, P",mg,25,54,33
"Potassium, K",mg,203,442,266
"Sodium, Na",mg,49,106,64
"Zinc, Zn",mg,0.22,0.48,0.29
Vitamins
"Vitamin C, total ascorbic acid",mg,3.1,6.7,4.0
"Thiamin",mg,0.019,0.042,0.025
"Riboflavin",mg,0.025,0.054,0.033
"Niacin",mg,0.209,0.454,0.274
"Vitamin B-6",mg,0.042,0.091,0.055
"Folate, DFE",µg,68,148,89
"Vitamin B-12",µg,0.00,0.00,0.00
"Vitamin A, RAE",µg,1,3,2
"Vitamin A, IU",IU,21,45,27
"Vitamin E (alpha-tocopherol)",mg,0.02,0.05,0.03
"Vitamin D (D2 + D3)",µg,0.0,0.0,0.0
"Vitamin D",IU,0,0,0
"Vitamin K (phylloquinone)",µg,0.1,0.3,0.2
Lipids
"Fatty acids, total saturated",g,0.017,0.037,0.022
"Fatty acids, total monounsaturated",g,0.020,0.044,0.026
"Fatty acids, total polyunsaturated",g,0.038,0.082,0.049
"Fatty acids, total trans",g,0.000,0.000,0.000
"Cholesterol",mg,0,0,0
Amino Acids
Other
"Caffeine",mg,0,0,0
