Source: USDA National Nutrient Database for Standard Reference 28 Software v.2.3.7.5
Basic Report
Report Run at: February 22, 2016 18:38 EST
"Nutrient data for: 09279, Plums, raw"
Nutrient,Unit,1.875Value per 187.5 g,"1 cup, sliced = 165.0g","1 fruit (2-1/8"" dia) = 66.0g","1 NLEA serving = 151.0g",
Proximates
"Water",g,163.56,143.93,57.57,131.72
"Energy",kcal,86,76,30,69
"Protein",g,1.31,1.15,0.46,1.06
"Total lipid (fat)",g,0.52,0.46,0.18,0.42
"Carbohydrate, by difference",g,21.41,18.84,7.54,17.24
"Fiber, total dietary",g,2.6,2.3,0.9,2.1
"Sugars, total",g,18.60,16.37,6.55,14.98
Minerals
"Calcium, Ca",mg,11,10,4,9
"Iron, Fe",mg,0.32,0.28,0.11,0.26
"Magnesium, Mg",mg,13,12,5,11
"Phosphorus, P",mg,30,26,11,24
"Potassium, K",mg,294,259,104,237
"Sodium, Na",mg,0,0,0,0
"Zinc, Zn",mg,0.19,0.16,0.07,0.15
Vitamins
"Vitamin C, total ascorbic acid",mg,17.8,15.7,6.3,14.3
"Thiamin",mg,0.052,0.046,0.018,0.042
"Riboflavin",mg,0.049,0.043,0.017,0.039
"Niacin",mg,0.782,0.688,0.275,0.630
"Vitamin B-6",mg,0.054,0.048,0.019,0.044
"Folate, DFE",µg,9,8,3,8
"Vitamin B-12",µg,0.00,0.00,0.00,0.00
"Vitamin A, RAE",µg,32,28,11,26
"Vitamin A, IU",IU,647,569,228,521
"Vitamin E (alpha-tocopherol)",mg,0.49,0.43,0.17,0.39
"Vitamin D (D2 + D3)",µg,0.0,0.0,0.0,0.0
"Vitamin D",IU,0,0,0,0
"Vitamin K (phylloquinone)",µg,12.0,10.6,4.2,9.7
Lipids
"Fatty acids, total saturated",g,0.032,0.028,0.011,0.026
"Fatty acids, total monounsaturated",g,0.251,0.221,0.088,0.202
"Fatty acids, total polyunsaturated",g,0.082,0.073,0.029,0.066
"Fatty acids, total trans",g,0.000,0.000,0.000,0.000
"Cholesterol",mg,0,0,0,0
Amino Acids
Other
"Caffeine",mg,0,0,0,0
