Source: USDA National Nutrient Database for Standard Reference 28 Software v.2.3.7.5
Basic Report
Report Run at: February 22, 2016 18:45 EST
"Nutrient data for: 09176, Mangos, raw"
Nutrient,Unit,1.875Value per 187.5 g,"1 cup pieces = 165.0g","1 fruit without refuse = 336.0g",
Proximates
"Water",g,156.49,137.71,280.43
"Energy",kcal,112,99,202
"Protein",g,1.54,1.35,2.76
"Total lipid (fat)",g,0.71,0.63,1.28
"Carbohydrate, by difference",g,28.09,24.72,50.33
"Fiber, total dietary",g,3.0,2.6,5.4
"Sugars, total",g,25.61,22.54,45.90
Minerals
"Calcium, Ca",mg,21,18,37
"Iron, Fe",mg,0.30,0.26,0.54
"Magnesium, Mg",mg,19,16,34
"Phosphorus, P",mg,26,23,47
"Potassium, K",mg,315,277,564
"Sodium, Na",mg,2,2,3
"Zinc, Zn",mg,0.17,0.15,0.30
Vitamins
"Vitamin C, total ascorbic acid",mg,68.2,60.1,122.3
"Thiamin",mg,0.052,0.046,0.094
"Riboflavin",mg,0.071,0.063,0.128
"Niacin",mg,1.254,1.104,2.248
"Vitamin B-6",mg,0.223,0.196,0.400
"Folate, DFE",µg,81,71,144
"Vitamin B-12",µg,0.00,0.00,0.00
"Vitamin A, RAE",µg,101,89,181
"Vitamin A, IU",IU,2029,1785,3636
"Vitamin E (alpha-tocopherol)",mg,1.69,1.48,3.02
"Vitamin D (D2 + D3)",µg,0.0,0.0,0.0
"Vitamin D",IU,0,0,0
"Vitamin K (phylloquinone)",µg,7.9,6.9,14.1
Lipids
"Fatty acids, total saturated",g,0.172,0.152,0.309
"Fatty acids, total monounsaturated",g,0.262,0.231,0.470
"Fatty acids, total polyunsaturated",g,0.133,0.117,0.239
"Fatty acids, total trans",g,0.000,0.000,0.000
"Cholesterol",mg,0,0,0
Amino Acids
Other
"Caffeine",mg,0,0,0
Footnotes
(a)"Values based on analyses of Tommy Atkins, Keitt, Kent, and/or Haden cultivars."
(b)"Mean value contains data based on the analysis of 5-methyltetrahydrofolate plus total folate determined microbiologically."
