Source: USDA National Nutrient Database for Standard Reference 28 Software v.2.3.7.5
Basic Report
Report Run at: February 22, 2016 19:34 EST
"Nutrient data for: 43537, Babyfood, dessert, blueberry yogurt, strained"
Nutrient,Unit,62.5Value per 6,250 g,"1 tbsp = 15.0g","1 jar NFS = 113.0g","1 jar Heinz Strained-2 (4 oz) = 113.0g",
Proximates
"Water",g,5087.50,12.21,91.98,91.98
"Energy",kcal,4812,12,87,87
"Protein",g,31.25,0.08,0.56,0.56
"Total lipid (fat)",g,43.75,0.10,0.79,0.79
"Carbohydrate, by difference",g,1065.62,2.56,19.27,19.27
"Fiber, total dietary",g,25.0,0.1,0.5,0.5
"Sugars, total",g,851.25,2.04,15.39,15.39
Minerals
"Calcium, Ca",mg,1562,4,28,28
"Iron, Fe",mg,12.50,0.03,0.23,0.23
"Magnesium, Mg",mg,812,2,15,15
"Phosphorus, P",mg,6812,16,123,123
"Potassium, K",mg,3875,9,70,70
"Sodium, Na",mg,875,2,16,16
"Zinc, Zn",mg,8.75,0.02,0.16,0.16
Vitamins
"Vitamin C, total ascorbic acid",mg,775.0,1.9,14.0,14.0
"Thiamin",mg,0.000,0.000,0.000,0.000
"Riboflavin",mg,2.500,0.006,0.045,0.045
"Niacin",mg,8.750,0.021,0.158,0.158
"Vitamin B-6",mg,25.000,0.060,0.452,0.452
"Folate, DFE",µg,500,1,9,9
"Vitamin B-12",µg,26.88,0.06,0.49,0.49
"Vitamin A, RAE",µg,188,0,3,3
"Vitamin A, IU",IU,2562,6,46,46
"Vitamin E (alpha-tocopherol)",mg,25.00,0.06,0.45,0.45
"Vitamin D (D2 + D3)",µg,0.0,0.0,0.0,0.0
"Vitamin D",IU,0,0,0,0
"Vitamin K (phylloquinone)",µg,831.2,2.0,15.0,15.0
Lipids
"Fatty acids, total saturated",g,28.250,0.068,0.511,0.511
"Fatty acids, total monounsaturated",g,12.000,0.029,0.217,0.217
"Fatty acids, total polyunsaturated",g,1.188,0.003,0.021,0.021
"Cholesterol",mg,250,1,5,5
Amino Acids
Other
"Caffeine",mg,0,0,0,0
